"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","thresh"
"ENSG00000155393",968.55931504562,-0.0307038195923675,0.107542793421146,-0.285503273772413,0.77525859662699,0.948497585881254,FALSE
"ENSG00000155428",8.79590145936423,-0.00106894313345663,0.176911883218723,-0.00604223477817517,0.995179023492284,0.998899576474047,FALSE
"ENSG00000155438",913.910163454886,0.103809017330563,0.0940996636029973,1.10318159869869,0.26994831073844,0.709885279643527,FALSE
"ENSG00000155463",6312.29241863159,-0.0425480958168062,0.0831389189587821,-0.511771097696138,0.608811220379734,0.897111673237095,FALSE
"ENSG00000155465",3338.05867491516,0.0625348648471335,0.194096222109282,0.322184863608136,0.747312650721912,0.941560289124957,FALSE
"ENSG00000155495",2594.62174482312,-0.097809608958219,0.375884420267296,-0.260211926018816,0.794700305419442,0.95247246043129,FALSE
"ENSG00000155506",18951.5277855458,-0.0356877538306226,0.0805793521688438,-0.442889560043167,0.657845619107204,0.916389413887691,FALSE
"ENSG00000155508",2141.13989884022,0.191960609588182,0.0584030311538233,3.28682614233826,0.00101323368153703,0.049880685619436,FALSE
"ENSG00000155511",3.35652232797038,2.71987467671891,0.410957803323084,6.61837944121142,NA,NA,NA
"ENSG00000155530",78.7512103282687,0.0273657209827425,0.163415580046601,0.167460905349041,0.867007406123265,0.970823900400324,FALSE
"ENSG00000155542",418.426637377879,0.0714754028780135,0.11025047595489,0.648300175205214,0.516790820734512,0.8577453633085,FALSE
"ENSG00000155545",1977.58923213202,0.113119217379655,0.0964384863932047,1.17296757353116,0.240808809449012,0.68447336056579,FALSE
"ENSG00000155561",3308.09160682579,-0.11823887187392,0.0727948627800368,-1.62427494686267,0.104317141675755,0.506934210007734,FALSE
"ENSG00000155592",272.858932541254,0.143901175344717,0.107590613452392,1.33748819462204,0.181063333221474,0.622516364520344,FALSE
"ENSG00000155621",346.746221179417,0.143766905624309,0.0806954260613815,1.78159918896707,0.0748146167969143,0.452319563937308,FALSE
"ENSG00000155629",2330.59344031804,0.2349802924221,0.207120391155573,1.13451066363427,0.25658040325615,0.700140130806849,FALSE
"ENSG00000155636",697.76292994043,0.132642395616822,0.063148429184309,2.10048606640211,0.0356861050457276,0.345342685583447,FALSE
"ENSG00000155657",2086.13339352557,0.726553490766114,0.269478393063424,2.69614748146103,0.00701466014619117,0.15514651838212,FALSE
"ENSG00000155659",442.264935987725,0.621302350550351,0.424737586931216,1.46279107304663,0.143524556517077,0.571149053026165,FALSE
"ENSG00000155660",32085.0236412853,0.031354850659652,0.141650631926275,0.221353411793964,0.824817264651675,0.961766142694737,FALSE
"ENSG00000155666",240.516293508078,-0.0927477115429464,0.108160988628483,-0.857496891615156,0.391170331951889,0.789530607809318,FALSE
"ENSG00000155714",5.99465822046572,0.0324694054763234,0.19195355299963,0.169152406761577,0.865676764152456,0.970430814712928,FALSE
"ENSG00000155719",34.0692697074984,-0.047830689037095,0.342770995475547,-0.139541237935656,0.889022471520125,0.975971477831703,FALSE
"ENSG00000155729",1067.78643940918,-0.00184821568855188,0.0446085222512092,-0.0414318967605294,0.966951584683405,0.992415692675918,FALSE
"ENSG00000155744",1906.52638365525,0.0667511615994597,0.0992932043376329,0.672263142727084,0.501416189378025,0.851642633611755,FALSE
"ENSG00000155749",45.177230432781,0.101824402614038,0.126837029189163,0.802797126871984,0.422092003089676,0.806873975810131,FALSE
"ENSG00000155754",11.4084923173654,-0.0772164730181685,0.21242777394788,-0.363495185131084,0.716235009026832,0.934166609719669,FALSE
"ENSG00000155755",394.468738255278,0.0288905032237328,0.166215255047982,0.173813788724705,0.862011807510378,0.969370423995679,FALSE
"ENSG00000155760",1018.45074771884,0.758952402847702,0.262485479863328,2.89140718657229,0.0038352085627398,0.110432678734065,FALSE
"ENSG00000155761",56.3817040215822,0.286963183633357,0.267237598861866,1.07381290976831,0.282906542673505,0.719469829519304,FALSE
"ENSG00000155792",2979.09820617078,0.398493657635243,0.239634316827957,1.66292400399955,0.0963276487633058,0.492873919806038,FALSE
"ENSG00000155827",2101.64376338389,0.216158431708594,0.0798707923803488,2.70635141165541,0.00680270177004432,0.152907860871477,FALSE
"ENSG00000155846",1109.08437594083,-0.12953386009098,0.172300581601852,-0.751790033943728,0.452177336237864,0.823524529963765,FALSE
