"","SYMBOL","GENEID"
"427","RP11-231L11.3","ENSG00000248773"
"428","NAIP","ENSG00000249437"
"429","LINC01091","ENSG00000249464"
"430","PCDHA10","ENSG00000250120"
"431","RP11-848G14.5","ENSG00000250138"
"432","FAM218A","ENSG00000250486"
"433","RP11-497H16.7","ENSG00000250687"
"434","AC005355.1","ENSG00000250994"
"435","RP11-197N18.7","ENSG00000251497"
"436","PTX4","ENSG00000251692"
"437","Y_RNA","ENSG00000252585"
"438","SOD1P3","ENSG00000253651"
"439","IGHEP1","ENSG00000253692"
"440","RP11-172E10.1","ENSG00000254060"
"441","RP11-48B3.3","ENSG00000254162"
"442","RP11-167P20.1","ENSG00000254186"
"443","LINC00824","ENSG00000254275"
"444","RP11-405K6.1","ENSG00000254456"
"445","RP11-65M17.3","ENSG00000254968"
"446","RP11-750H9.5","ENSG00000255197"
"447","RP11-727F15.9","ENSG00000256690"
"448","PLBD1-AS1","ENSG00000256751"
"449","RP11-81H14.4","ENSG00000256917"
"450","RP11-443B7.3","ENSG00000258082"
"451","CLEC5A","ENSG00000258227"
"452","RP11-725G5.2","ENSG00000258630"
"453","HIF1A-AS2","ENSG00000258667"
"454","LINC01146","ENSG00000258867"
"455","RP11-386M24.5","ENSG00000259064"
"456","RP11-30K9.4","ENSG00000259402"
"457","CTD-2118P12.1","ENSG00000259786"
"458","RP11-44F14.1","ENSG00000260078"
"459","RP11-405F3.4","ENSG00000260467"
"460","BMS1P8","ENSG00000260518"
"461","STAM-AS1","ENSG00000260589"
"462","RPL23AP97","ENSG00000260615"
"463","AP006547.3","ENSG00000261044"
"464","RP11-61F12.1","ENSG00000261471"
"465","RP11-243A14.1","ENSG00000261617"
"466","RP11-244B22.11","ENSG00000261800"
"467","RP11-160E2.6","ENSG00000262202"
"468","UBBP4","ENSG00000263563"
"469","RP11-795F19.5","ENSG00000267127"
"470","RP11-13K12.2","ENSG00000267665"
"471","RP11-678G14.3","ENSG00000268555"
"472","TEX13A","ENSG00000268629"
"473","LINC00664","ENSG00000268658"
"474","CTC-450M9.1","ENSG00000268764"
"475","HNRNPA1P52","ENSG00000269119"
"476","U1","ENSG00000270722"
"477","RP11-564A8.8","ENSG00000271680"
"478","LA16c-380H5.5","ENSG00000272079"
"479","KB-208E9.1","ENSG00000272733"
"480","RP11-464F9.22","ENSG00000272791"
"481","LL21NC02-1C16.2","ENSG00000272825"
"482","RP11-422P24.10","ENSG00000273026"
"483","HIST1H2BM","ENSG00000273703"
"484","U1","ENSG00000273727"
"485","U1","ENSG00000273768"
"486","WI2-87327B8.2","ENSG00000273812"
"487","FRMD6-AS1","ENSG00000273888"
"488","U1","ENSG00000274210"
"489","RP11-93G5.1","ENSG00000274317"
"490","MIR223","ENSG00000274536"
"491","AC131056.3","ENSG00000274767"
"492","CH17-373J23.1","ENSG00000276216"
"493","HIST1H2BB","ENSG00000276410"
"494","BX255923.3","ENSG00000276462"
"495","AC010518.2","ENSG00000276758"
"496","RP11-102G14.1","ENSG00000277050"
"497","CH17-385C13.2","ENSG00000277406"
"498","RP13-415G19.2","ENSG00000278954"
"499","RP11-226M10.3","ENSG00000279281"
"500","bP-2189O9.3","ENSG00000279579"
"501","RP11-1334A24.5","ENSG00000279821"
"502","RP11-341D18.2","ENSG00000279924"
"503","ST3GAL4-AS1","ENSG00000280832"
"504","LINC01127","ENSG00000281162"
"505","LINC01002","ENSG00000282508"
"506","AC011380.8","ENSG00000283602"
